title,abstract,pmc_id,pmc_url
Geodesic shape regression based deep learning segmentation for assessing longitudinal hippocampal atrophy in dementia progression.,"Longitudinal hippocampal atrophy is commonly used as progressive marker assisting clinical diagnose of dementia. However, precise quantification of the atrophy is limited by longitudinal segmentation errors resulting from MRI artifacts across multiple independent scans. To accurately segment the hippocampal morphology from longitudinal 3T T1-weighted MR images, we propose a diffeomorphic geodesic guided deep learning method called the GeoLongSeg to mitigate the longitudinal variabilities that unrelated to diseases by enhancing intra-individual morphological consistency. Specifically, we integrate geodesic shape regression, an evolutional model that estimates smooth deformation process of anatomical shapes, into a two-stage segmentation network. We adopt a 3D U-Net in the first-stage network with an enhanced attention mechanism for independent segmentation. Then, a hippocampal shape evolutional trajectory is estimated by geodesic shape regression and fed into the second network to refine the independent segmentation. We verify that GeoLongSeg outperforms other four state-of-the-art segmentation pipelines in longitudinal morphological consistency evaluated by test-retest reliability, variance ratio and atrophy trajectories. When assessing hippocampal atrophy in longitudinal data from the Alzheimer's Disease Neuroimaging Initiative (ADNI), results based on GeoLongSeg exhibit spatial and temporal local atrophy in bilateral hippocampi of dementia patients. These features derived from GeoLongSeg segmentation exhibit the greatest discriminatory capability compared to the outcomes of other methods in distinguishing between patients and normal controls. Overall, GeoLongSeg provides an accurate and efficient segmentation network for extracting hippocampal morphology from longitudinal MR images, which assist precise atrophy measurement of the hippocampus in early stage of dementia.",Not available,URL not available
Alzheimer's disease and epilepsy: Research hotspots for comorbidity in the era of global aging.,"Neurological conditions such as Alzheimer's disease (AD) and epilepsy share a significant clinical overlap, particularly in the elderly, with each disorder potentiating the risk of the other. This interplay is significant amidst an aging global demographic. The review explores the classical pathologies of AD, including amyloid-beta plaques and hyperphosphorylated tau, and their potential role in the genesis of epilepsy. It also delves into the imbalance of glutamate and gamma-amino butyric acid activities, a key mechanism in epilepsy that may be influenced by AD pathology. The impact of age of onset on comorbidity is examined, with early-onset AD and Down syndrome presenting higher risks of epilepsy. The review suggests that epilepsy might precede cognitive symptoms in AD, indicating a complex interaction. Sleep modulation is highlighted as a factor, with sleep disturbances potentially contributing to AD progression. The necessity for cautious medication management is emphasized due to the cognitive effects of certain antiepileptic drugs. Animal models are recognized for their importance in understanding the relationship between AD and epilepsy, though creating fully representative models presents a challenge. The review concludes by noting the efficacy of medications such as lamotrigine, levetiracetam, and memantine in managing both conditions and suggests the ketogenic diet and cannabidiol as emerging treatment options, warranting further investigation for comprehensive patient care strategies.",Not available,URL not available
Identification of pleiotropic and specific therapeutic targets for cardio-cerebral diseases: A large-scale proteome-wide mendelian randomization and colocalization study.,"The cardiac-brain connection has been identified as the basis for multiple cardio-cerebral diseases. However, effective therapeutic targets for these diseases are still limited. Therefore, this study aimed to identify pleiotropic and specific therapeutic targets for cardio-cerebral diseases using Mendelian randomization (MR) and colocalization analyses.",Not available,URL not available
Towards cascading genetic risk in Alzheimer's disease.,"Alzheimer's disease typically progresses in stages, which have been defined by the presence of disease-specific biomarkers: Amyloid (A), Tau (T) and neurodegeneration (N). This progression of biomarkers has been condensed into the ATN framework, where each of the biomarkers can be either positive (+) or negative (-). Over the past decades genome wide association studies have implicated about 90 different loci involved with the development of late onset Alzheimer's disease. Here we investigate whether genetic risk for Alzheimer's disease contributes equally to the progression in different disease stages or whether it exhibits a stage-dependent effect. Amyloid (A) and tau (T) status was defined using a combination of available PET and CSF biomarkers in the Alzheimer's Disease Neuroimaging Initiative cohort. In 312 participants with biomarker-confirmed A-T- status, we employed Cox proportional hazards models to estimate the contribution of APOE and polygenic risk scores (beyond APOE) to convert to A+T- status (65 conversions). Furthermore, we repeated the analysis in 290 participants with A+T- status and investigated the genetic contribution to conversion to A+T+ (45 conversions). Both survival analyses were adjusted for age, sex, and years of education. For progression from A-T- to A+T-, APOE-e4 burden showed significant effect (HR=2.88; 95% CI: 1.70-4.89; P<0.001), while polygenic risk did not (HR=1.09; 95% CI: 0.84-1.42; P=0.53). Conversely, for the transition from A+T- to A+T+, the APOE-e4 burden contribution was reduced (HR=1.62 95% CI: 1.05-2.51; P=0.031), while the polygenic risk showed an increased contribution (HR=1.73; 95% CI:1.27-2.36; P<0.001). The marginal APOE effect was driven by e4 homozygotes (HR=2.58; 95% CI: 1.05-6.35; P=0.039) as opposed to e4 heterozygotes (HR=1.74; 95% CI: 0.87-3.49; P=0.12). The genetic risk for late-onset Alzheimer's disease unfolds in a disease stage-dependent fashion. A better understanding of the interplay between disease stage and genetic risk can lead to a more mechanistic understanding of transition between ATN stages, a better understanding of the molecular processes leading to Alzheimer's disease as well as opening therapeutic windows for targeted interventions.",Not available,URL not available
Localized Pantothenic Acid (Vitamin B5) Reductions Present Throughout the Dementia with Lewy Bodies Brain.,"Localized pantothenic acid deficiencies have been observed in several neurodegenerative diseases such as Alzheimer's disease (AD), Parkinson's disease dementia (PDD), and Huntington's disease (HD), indicating downstream energetic pathway perturbations. However, no studies have yet been performed to see whether such deficiencies occur across the dementia with Lewy bodies (DLB) brain, or what the pattern of such dysregulation may be.",Not available,URL not available
A Study on the Effect of Executive Control Network Functional Connection on the Therapeutic Efficacy of Repetitive Transcranial Magnetic Stimulation in Alzheimer's Disease.,Alzheimer's disease (AD) is a neurodegenerative disease characterized by brain network dysfunction. Few studies have investigated whether the functional connections between executive control networks (ECN) and other brain regions can predict the therapeutic effect of repetitive transcranial magnetic stimulation (rTMS).,Not available,URL not available
"Association of Loneliness with Functional Connectivity MRI, Amyloid-β PET, and Tau PET Neuroimaging Markers of Vulnerability for Alzheimer's Disease.","Loneliness has been declared an ""epidemic"" associated with negative physical, mental, and cognitive health outcomes such as increased dementia risk. Less is known about the relationship between loneliness and advanced neuroimaging correlates of Alzheimer's disease (AD).",Not available,URL not available
Amyloid-β Deposition Predicts Grocery Shopping Performance in Older Adults Without Cognitive Impairment.,"A screening tool sensitive to Alzheimer's disease (AD) risk factors, such as amyloid-β (Aβ) deposition, and subtle cognitive changes, best elicited by complex everyday tasks, is needed.",Not available,URL not available
"Vitamin D, Cognition, and Alzheimer's Disease: Observational and Two-Sample Mendelian Randomization Studies.","Observational studies have found that vitamin D supplementation is associated with improved cognition. Further, recent Mendelian randomization (MR) studies have shown that higher vitamin D levels, 25(OH)D, may protect against Alzheimer's disease. Thus, it is possible that 25(OH)D may protect against Alzheimer's disease by improving cognition.",Not available,URL not available
"Microglia-astrocyte crosstalk in the amyloid plaque niche of an Alzheimer's disease mouse model, as revealed by spatial transcriptomics.","The amyloid plaque niche is a pivotal hallmark of Alzheimer's disease (AD). Here, we employ two high-resolution spatial transcriptomics (ST) platforms, CosMx and Spatial Enhanced Resolution Omics-sequencing (Stereo-seq), to characterize the transcriptomic alterations, cellular compositions, and signaling perturbations in the amyloid plaque niche in an AD mouse model. We discover heterogeneity in the cellular composition of plaque niches, marked by an increase in microglial accumulation. We profile the transcriptomic alterations of glial cells in the vicinity of plaques and conclude that the microglial response to plaques is consistent across different brain regions, while the astrocytic response is more heterogeneous. Meanwhile, as the microglial density of plaque niches increases, astrocytes acquire a more neurotoxic phenotype and play a key role in inducing GABAergic signaling and decreasing glutamatergic signaling in hippocampal neurons. We thus show that the accumulation of microglia around hippocampal plaques disrupts astrocytic signaling, in turn inducing an imbalance in neuronal synaptic signaling.",Not available,URL not available
Strengthening Primary Care Workforce Capacity in Dementia Diagnosis and Care: A Qualitative Study of Project Alzheimer's Disease-ECHO.,"Primary care practitioners (PCPs) are the first point of contact for most patients with suspected dementia and have identified a need for more training and support around dementia diagnosis and care. This qualitative study examined the Alzheimer's Disease-Extension for Community Healthcare Outcomes (AD-ECHO) program. AD-ECHO was designed to strengthen PCP capacity in dementia through bimonthly virtual meetings with a team of dementia experts. We conducted 24 hr of direct observations at AD-ECHO sessions and interviewed 14 participants about their experiences participating. Using thematic analysis, we found that participants valued the supportive learning environment and resources; knowledge gained empowered them to take more action around dementia; they identified ways of disseminating knowledge gained into their practice settings, and many desired ongoing AD-ECHO engagement. However, most identified time as a barrier to participation. AD-ECHO has the potential to strengthen the primary care workforce's knowledge and confidence around dementia care.",Not available,URL not available
Study: 2 APOE4 Copies May Indicate Genetic Form of Alzheimer Disease.,No abstract,Not available,URL not available
AdipoRon Ameliorates Synaptic Dysfunction and Inhibits tau Hyperphosphorylation through the AdipoR/AMPK/mTOR Pathway in T2DM Mice.,"There is growing evidence showing that adiponectin (APN) can improve Alzheimer's disease(AD)-like pathological changes by improving insulin resistance. However, the role of AdipoRon (an Adiponectin receptor agonist) on synaptic plasticity and cognitive dysfunction in the early stages of type 2 diabetes mellitus(T2DM) remains unknown. In this study, we investigated the neuroprotective effect and the molecular mechanism underlying the effect of AdipoRon in T2DM mice. We found that AdipoRon significantly restored the cognitive deficits in T2DM mice, including shorter escape latency, more crossing times, increased distances, and percentage of time in the target quadrant. In addition, AdipoRon treatment up-regulated synaptic proteins (PSD95, SYN, GAP43, and SYP), increased the number of hippocampal synapses and attenuated synaptic damage, including the length, the number and the density of dendritic spines in CA1 and DG regions. Furthermore, AdipoRon attenuated Tau phosphorylation at multiple AD-related sites (p-tau 205, p-tau 396, p-tau 404) by promoting AdipoR expression and activating the AMPK/mTOR pathway. Our data suggests that AdipoRon exerts neuroprotective effects on the T2DM mice, which may be mediated by the activation of the AdipoR/AMPK/mTOR signaling pathway.",9661919,https://www.ncbi.nlm.nih.gov/pmc/articles/9661919/
Nanoinjection: A Platform for Innovation in Ex Vivo Cell Engineering.,"ConspectusIn human cells, intracellular access and therapeutic cargo transport, including gene-editing tools (e.g., CRISPR-Cas9 and transposons), nucleic acids (e.g., DNA, mRNA, and siRNA), peptides, and proteins (e.g., enzymes and antibodies), are tightly constrained to ensure healthy cell function and behavior. This principle is exemplified in the delivery mechanisms of chimeric antigen receptor (CAR)-T cells for ex-vivo immunotherapy. In particular, the clinical success of CAR-T cells has established a new standard of care by curing previously incurable blood cancers. The approach involves the delivery, typically via the use of electroporation (EP) and lentivirus, of therapeutic CAR genes into a patient's own T cells, which are then engineered to express CARs that target and combat their blood cancer. But the key difficulty lies in genetically manipulating these cells without causing irreversible damage or loss of function─all the while minimizing complexities of manufacturing, safety concerns, and costs, and ensuring the efficacy of the final CAR-T cell product.Nanoinjection─the process of intracellular delivery using nanoneedles (NNs)─is an emerging physical delivery route that efficiently negotiates the plasma membrane of many cell types, including primary human T cells. It occurs with minimal perturbation, invasiveness, and toxicity, with high efficiency and throughput at high spatial and temporal resolutions. Nanoinjection promises greatly improved delivery of a broad range of therapeutic cargos with little or no damage to those cargos. A nanoinjection platform allows these cargos to function in the intracellular space as desired. The adaptability of nanoinjection platforms is now bringing major advantages in immunomodulation, mechanotransduction, sampling of cell states (nanobiopsy), controlled intracellular interrogation, and the primary focus of this account─intracellular delivery and its applications in ex vivo cell engineering.Mechanical nanoinjection typically exerts direct mechanical force on the cell membrane, offering a straightforward route to improve membrane perturbation by the NNs and subsequent transport of genetic cargo into targeted cell type (adherent or suspension cells). By contrast, electroactive nanoinjection is controlled by coupling NNs with an electric field─a new route for activating electroporation (EP) at the nanoscale─allowing a dramatic reduction of the applied voltage to a cell and so minimizing post-EP damage to cells and cargo, and overcoming many of the limitations of conventional bulk EP. Nanoinjection transcends mere technique; it is an approach to cell engineering ex vivo, offering the potential to endow cells with new, powerful features such as generating chimeric antigen receptor (CAR)-T cells for future CAR-T cell technologies.We first discuss the manufacturing of NN devices (Section 2), then delve into nanoinjection-mediated cell engineering (Section 3), nanoinjection mechanisms and interfacing methodologies (Section 4), and emerging applications in using nanoinjection to create functional CAR-T cells (Section 5).",Not available,URL not available
New insights into sodium phenylbutyrate as a pharmacotherapeutic option for neurological disorders.,"Neurological disorders (NDs) are diseases of the central and peripheral nervous systems that affect more than one billion people worldwide. The risk of developing an ND increases with age due to the vulnerability of the different organs and systems to genetic, environmental, and social changes that consequently cause motor and cognitive deficits that disable the person from their daily activities and individual and social productivity. Intrinsic factors (genetic factors, age, gender) and extrinsic factors (addictions, infections, or lifestyle) favor the persistence of systemic inflammatory processes that contribute to the evolution of NDs. Neuroinflammation is recognized as a common etiopathogenic factor of ND. The study of new pharmacological options for the treatment of ND should focus on improving the characteristic symptoms and attacking specific molecular targets that allow the delay of damage processes such as neuroinflammation, oxidative stress, cellular metabolic dysfunction, and deregulation of transcriptional processes. In this review, we describe the possible role of sodium phenylbutyrate (NaPB) in the pathogenesis of Alzheimer's disease, hepatic encephalopathy, aging, Parkinson's disease, Huntington's disease, and amyotrophic lateral sclerosis; in addition, we describe the mechanism of action of NaPB and its beneficial effects that have been shown in various in vivo and in vitro studies to delay the evolution of any ND.",Not available,URL not available
Alzheimer Disease-Link With Major Depressive Disorder and Efficacy of Antidepressants in Modifying its Trajectory.,"Alzheimer disease (AD) is a devastating neurodegenerative disorder that affects millions of individuals worldwide, with no effective cure. The main symptoms include learning and memory loss, and the inability to carry out the simplest tasks, significantly affecting patients' quality of life. Over the past few years, tremendous progress has been made in research demonstrating a link between AD and major depressive disorder (MDD). Evidence suggests that MDD is commonly associated with AD and that it can serve as a precipitating factor for this disease. Antidepressants such as selective serotonin reuptake inhibitors, which are the first line of treatment for MDD, have shown great promise in the treatment of depression in AD, although their effectiveness remains controversial. The goal of this review is to summarize current knowledge regarding the association between AD, MDD, and antidepressant treatment. It first provides an overview of the interaction between AD and MDD at the level of genes, brain regions, neurotransmitter systems, and neuroinflammatory markers. The review then presents current evidence regarding the effectiveness of various antidepressants for AD-related pathophysiology and then finally discusses current limitations, challenges, and future directions.",Not available,URL not available
Chronic stress induces Alzheimer's disease-like pathologies through DNA damage-Chk1-CIP2A signaling.,"Stress is an important initiating factor in promoting Alzheimer's disease (AD) pathogenesis. However, the mechanism by which stress induces AD-like cognitive impairment remains to be clarified. Here, we demonstrate that DNA damage is increased in stress hormone Corticotropin-releasing factor (CRF)-treated cells and in brains of mice exposed to chronic restraint stress. Accumulation of DNA damage drives activation of cell cycle checkpoint protein kinase 1 (Chk1), upregulation of cancerous inhibitor of PP2A (CIP2A), tau hyperphosphorylation, and Aβ overproduction, eventually resulting in synaptic impairment and cognitive deficits. Pharmacological intervention targeting Chk1 by specific inhibitor and DNA damage by vitamin C, suppress DNA damage-Chk1-CIP2A signaling pathway in chronic stress animal model, which in turn attenuate AD-like pathologies, synaptic impairments and cognitive deficits. Our study uncovers a novel molecular mechanism of stress-induced AD-like pathologies and provides effective preventive and therapeutic strategies targeting this signaling pathway.",Not available,URL not available
Daphnetin protects neurons in an Alzheimer disease mouse model and normal rat neurons by inhibiting BACE1 activity and activating the Nrf2/HO-1 pathway.,"The common neurodegenerative disorder Alzheimer disease (AD) is characterized by memory dysfunction and cognitive decline in the elderly. Neuropathological features include aggregated β-amyloid (Aβ) accumulation, neuroinflammation, and oxidative stress in the brain. Daphnetin (DAPH), a natural coumarin derivative, has the potential for inhibiting inflammatory and oxidative responses. We explored neuroprotective roles of DAPH treatment in the APP/PS1 transgenic mouse AD model. DAPH ameliorated spatial learning disabilities in Morris water maze tests and reduced Aβ deposition, assessed by immunohistochemistry. It also reduced the Aβ content in supernatants of neurons from fetal APP/PS1 mice, assessed by cell-based soluble ELISA. Molecular docking and fluorescence resonance energy transfer-based assay results suggested that DAPH could directly inhibit BACE1 activity. Furthermore, in vitro experiments utilizing isolated rat neurons assessing RNA expression profiling, immunofluorescence, TUNEL assay, and Western-blot analysis, suggested the potential of DAPH for regulating BDNF and GM-CSF expression and mitigating Aβ1-42-induced cortical injury, synaptic loss, and apoptosis. HO-1 and Nrf2 mRNA and protein expression were also increased in a dose-dependent manner. These results underscore the potential of DAPH as a neuroprotective agent in reversing memory deficits associated with AD and bolster its candidacy as a multitarget natural small-molecule drug for AD patients.",Not available,URL not available
"Gamma-glutamyl transferase 5 overexpression in cerebrovascular endothelial cells improves brain pathology, cognition, and behavior in APP/PS1 mice.","JOURNAL/nrgr/04.03/01300535-202502000-00030/figure1/v/2024-05-28T214302Z/r/image-tiff In patients with Alzheimer's disease, gamma-glutamyl transferase 5 (GGT5) expression has been observed to be downregulated in cerebrovascular endothelial cells. However, the functional role of GGT5 in the development of Alzheimer's disease remains unclear. This study aimed to explore the effect of GGT5 on cognitive function and brain pathology in an APP/PS1 mouse model of Alzheimer's disease, as well as the underlying mechanism. We observed a significant reduction in GGT5 expression in two in vitro models of Alzheimer's disease (Aβ1-42-treated hCMEC/D3 and bEnd.3 cells), as well as in the APP/PS1 mouse model. Additionally, injection of APP/PS1 mice with an adeno-associated virus encoding GGT5 enhanced hippocampal synaptic plasticity and mitigated cognitive deficits. Interestingly, increasing GGT5 expression in cerebrovascular endothelial cells reduced levels of both soluble and insoluble amyloid-β in the brains of APP/PS1 mice. This effect may be attributable to inhibition of the expression of β-site APP cleaving enzyme 1, which is mediated by nuclear factor-kappa B. Our findings demonstrate that GGT5 expression in cerebrovascular endothelial cells is inversely associated with Alzheimer's disease pathogenesis, and that GGT5 upregulation mitigates cognitive deficits in APP/PS1 mice. These findings suggest that GGT5 expression in cerebrovascular endothelial cells is a potential therapeutic target and biomarker for Alzheimer's disease.",Not available,URL not available
