title,abstract,pmc_id,pmc_url
Retinal imaging with hand-held optical coherence tomography in older people with or without postoperative delirium after hip fracture surgery: A feasibility study.,"Postoperative delirium in older people may result from the interaction between intrinsic brain vulnerability (e.g. neurodegeneration) and precipitating factors (e.g. surgery induced cytokines). Intrinsic brain vulnerability may be overt (e.g. Alzheimer's disease) or preclinical. In cognitively intact older people presenting for surgery, identification of preclinical neurodegeneration using bedside tools could aid postoperative delirium risk stratification. Thinning of the circumpapillary retinal nerve fibre layer thickness is associated with neurodegenerative disorders e.g. Alzheimer's disease. We propose that thinning of the retinal nerve fibre layer may be present some older people with postoperative delirium due to preclinical neurodegeneration, albeit to a lesser extent than in overt dementia.",Not available,URL not available
CRY2 mediates the cognitive decline induced by sleep deprivation in 5xFAD mice.,Cryptochrome-2 (CRY2) is a core rhythm gene that plays a crucial role in DNA damage repair. The present study investigated the potential role of CRY2 in mediating sleep deprivation-induced cognitive decline in 5xFAD mice.,Not available,URL not available
Rexinoids Induce Differential Gene Expression in Human Glioblastoma Cells and Protein-Protein Interactions in a Yeast Two-Hybrid System.,"Rexinoids are compounds that bind to the rexinoid X receptor (RXR) to modulate gene expression and have been proposed as a new class of therapeutics to treat Alzheimer's disease. Different rexinoids will initiate downstream effects that can be quite marked even though such compounds can be structurally similar and have comparable RXR binding affinities. RXR can both homo- and heterodimerize, and these protein-protein interactions and subsequent transactivating potential lead to differential gene expression, depending on the RXR dimeric partner, additional cofactors recruited, and downstream transcription factors that are up- or downregulated. Expression analysis was performed in the U87 human glioblastoma cell line treated with a panel of rexinoids, and our analysis demonstrated that rexinoids with similar RXR EC",Not available,URL not available
Association between dietary riboflavin intake and cognitive decline in older adults: a cross-sectional analysis.,Research exploring the link between dietary riboflavin intake and cognitive decline in this demographic is limited. Our aim was to examine the association between riboflavin intake levels and cognitive decline.,Not available,URL not available
"Dysregulation of Lipid Metabolism Serves as A Link Between Alzheimer's and Cardiovascular Disease, As Witnessed in A Cross-Sectional Study.","Cardiovascular risk factors and established cardiovascular disease (CVD) increase the risk of suffering dementia of the Alzheimer's type (DAT). Here, we set out to define specific molecular profiles of CVD in patients with DAT to better understand its relationship, to unravel the mechanisms underlying the high risk of developing DAT in CVD patients and to define new markers of early disease. Plasma samples from patients with DAT, with and without CVD, were analyzed through a multiomics approach, with integration of metabolomics and proteomics datasets using the OmicsNet web-based tool. Metabolomics results showed an enrichment in lipids and lipid-like molecules. Similarly, the most significant cluster identified through proteomics was formed by 5 proteins related to lipoprotein and cholesterol metabolism. After integration and functional enrichment, glycerolipid metabolism, fatty acid degradation and sphingolipid metabolism were among the most significant functions. Finally, differential expression of ABCA1 and APOH proteins was verified, in an independent cohort also including controls and patients with CVD alone. Both proteins positively correlated with phospho-Tau (181), a classical hallmark of DAT. Different molecular profiles exist in patients with DAT, with and without CVD, with exacerbated alterations in patients in which DAT and CVD co-exist. This information may help to define biomarkers like ABCA1 and APOH that identify patients with cardiovascular dysfunction that are at high risk of developing DAT. Such markers will allow more personalized interventions to be selected, a further step towards precision medicine for individuals whose molecular profiles indicate a distinct response to the same management strategies.",Not available,URL not available
APOE 5'UTR Methylation Pattern Analysis in Blood and Brain Tissue from Alzheimer's Disease Affected Patients.,"APOE ε4 allele is the major genetic risk factor for Alzheimer's Disease (AD). Furthermore, APOE methylation pattern has been described to be associated with the disease and to follow a bimodal pattern, with a hypermethylated CpG island and a hypomethylated promoter region. However, little is known about the methylation levels in the APOE 5'UTR region. Here, the methylation of two regions (R1 and R2) within APOE 5'UTR was investigated in both peripheral blood mononuclear cells (PBMCs) and hippocampus (HIC) samples to identify differentially methylated CpG sites and to associate clinical, genetic features and cerebrospinal fluid (CSF) biomarkers levels. DNA was extracted from PBMCs of 20 AD and 20 healthy controls (HC) and from 6 AD and 3 HC HIC samples. The methylation analysis was carried out by means of pyrosequencing. In AD PBMCs we found that R1 region displayed a higher methylation level, while the opposite trend was observed in R2. The presence of ε4 allele highlighted a marked increase in R1 methylation level and a decrease in R2. In AD PBMCs and HIC, age progression resulted to be associated with an increase in the methylation level of R1. Lastly, the methylation of a CpG site in R2 was found to be related to CSF biomarkers. Despite the lack of a statistical significance, the outcome from this exploratory analysis highlighted the presence of a difference in methylation in APOE 5'UTR in PBMCs of AD patients which seemed to be associated also with APOE genotype, age and CSF biomarkers level.",Not available,URL not available
Alzheimer Disease and Related Dementia Following Hormone-Modulating Therapy in Patients With Breast Cancer.,"Hormone-modulating therapy (HMT) is a widely accepted treatment for hormone receptor-positive breast cancer, although its cognitive effects, including a potential link to Alzheimer disease and related dementias (ADRD), remain understudied.",Not available,URL not available
The Role of Gut Microbiota in the Neuroprotective Effects of Selenium in Alzheimer's Disease.,"The objective of the present review was to provide a timely update on the molecular mechanisms underlying the beneficial role of Se in Alzheimer's disease pathogenesis, and discuss the potential role of gut microbiota modulation in this neuroprotective effect. The existing data demonstrate that selenoproteins P, M, S, R, as well as glutathione peroxidases and thioredoxin reductases are involved in regulation of Aβ formation and aggregation, tau phosphorylation and neurofibrillary tangles formation, as well as mitigate the neurotoxic effects of Aβ and phospho-tau. Correspondingly, supplementation with various forms of Se in cellular and animal models of AD was shown to reduce Aβ formation, tau phosphorylation, reverse the decline in brain antioxidant levels, inhibit neuronal oxidative stress and proinflammatory cytokine production, improve synaptic plasticity and neurogenesis, altogether resulting in improved cognitive functions. In addition, most recent findings demonstrate that these neuroprotective effects are associated with Se-induced modulation of gut microbiota. In animal models of AD, Se supplementation was shown to improve gut microbiota biodiversity with a trend to increased relative abundance of Lactobacillus, Bifidobacterium, and Desulfivibrio, while reducing that of Lachnospiracea_NK4A136, Rikenella, and Helicobacter. Moreover, the relative abundance of Se-affected taxa was significantly associated with Aβ accumulation, tau phosphorylation, neuronal oxidative stress, and neuroinflammation, indicative of the potential role of gut microbiota to mediate the neuroprotective effects of Se in AD. Hypothetically, modulation of gut microbiota along with Se supplementation may improve the efficiency of the latter in AD, although further detailed laboratory and clinical studies are required.",9370215,https://www.ncbi.nlm.nih.gov/pmc/articles/9370215/
Biflavonoid Methylchamaejasmin and Khaya grandifoliola Extract Inhibit NLRP3 Inflammasome in THP-1 Cell Model of Neuroinflammation.,"Neuroinflammation is a common hallmark of Alzheimer's disease (AD), with NLRP3 inflammasome proven to be activated in microglia of AD patients' brains. In this study, a newly isolated biflavonoid (7,7'-di-O-methylchamaejasmin/M8) and a crude extract of the plant Khaya grandifoliola (KG) were investigated for their inhibitory effect on inflammasome activation. In preliminary experiments, M8 and KG showed no cytotoxicity on human macrophage-like differentiated THP-1 cells and exhibited anti-inflammatory inhibition of nitric oxide produced following lipopolysaccharide stimulation. Furthermore, M8 and KG blocked IL-1β and IL-18 production by reducing NLRP3 inflammasome components including NFκB, NLRP3, Caspase-1, pro-IL-1β, and pro-IL-18 at the mRNA and protein levels. Regarding the formation of ASC (apoptosis-associated speck-like protein containing a CARD) specks during inflammasome activation, the size and fluorescent intensity of the existing specks were unchanged across all treatment conditions. However, M8 and KG treatments were shown to prevent further speck formation. In addition, experiments on amyloid β phagocytosis showed that M8 and KG pretreatments can restore the phagocytic activity of THP-1 cells, which was impaired following inflammasome activation. Altogether, our findings describe for the first time a promising role of biflavonoids and KG extract in preventing inflammasome activation and protecting against neuroinflammation, a key factor in AD development.",5952855,https://www.ncbi.nlm.nih.gov/pmc/articles/5952855/
An Expanded Narrative Review of Neurotransmitters on Alzheimer's Disease: The Role of Therapeutic Interventions on Neurotransmission.,"Alzheimer's disease (AD) is a progressive neurodegenerative disease. The accumulation of amyloid-β (Aβ) plaques and tau neurofibrillary tangles are the key players responsible for the pathogenesis of the disease. The accumulation of Aβ plaques and tau affect the balance in chemical neurotransmitters in the brain. Thus, the current review examined the role of neurotransmitters in the pathogenesis of Alzheimer's disease and discusses the alterations in the neurochemical activity and cross talk with their receptors and transporters. In the presence of Aβ plaques and neurofibrillary tangles, changes may occur in the expression of neuronal receptors which in turn triggers excessive release of glutamate into the synaptic cleft contributing to cell death and neuronal damage. The GABAergic system may also be affected by AD pathology in a similar way. In addition, decreased receptors in the cholinergic system and dysfunction in the dopamine neurotransmission of AD pathology may also contribute to the damage to cognitive function. Moreover, the presence of deficiencies in noradrenergic neurons within the locus coeruleus in AD suggests that noradrenergic stimulation could be useful in addressing its pathophysiology. The regulation of melatonin, known for its effectiveness in enhancing cognitive function and preventing Aβ accumulation, along with the involvement of the serotonergic system and histaminergic system in cognition and memory, becomes remarkable for promoting neurotransmission in AD. Additionally, nitric oxide and adenosine-based therapeutic approaches play a protective role in AD by preventing neuroinflammation. Overall, neurotransmitter-based therapeutic strategies emerge as pivotal for addressing neurotransmitter homeostasis and neurotransmission in the context of AD. This review discussed the potential for neurotransmitter-based drugs to be effective in slowing and correcting the neurodegenerative processes in AD by targeting the neurochemical imbalance in the brain. Therefore, neurotransmitter-based drugs could serve as a future therapeutic strategy to tackle AD.",8354300,https://www.ncbi.nlm.nih.gov/pmc/articles/8354300/
Enhanced hippocampal TIAM2S expression alleviates cognitive deficits in Alzheimer's disease model mice.,"Dendritic spine dysfunction is a key feature of Alzheimer's disease (AD) pathogenesis. Human T-cell lymphoma invasion and metastasis 2 (TIAM2) is expressed in two isoforms, the full length (TIAM2L) and a short transcript (TIAM2S). Compared to TIAM2L protein, which is undetectable, TIAM2S protein is abundant in human brain tissue, especially the hippocampus, and can promote neurite outgrowth in our previous findings. However, whether enhanced hippocampal TIAM2S expression can alleviate cognitive deficits in Alzheimer's disease model mice remains unclear.",5123349,https://www.ncbi.nlm.nih.gov/pmc/articles/5123349/
Dysphagia in primary progressive aphasia: Clinical predictors and neuroanatomical basis.,"Dysphagia is an important feature of neurodegenerative diseases and potentially life-threatening in primary progressive aphasia (PPA) but remains poorly characterized in these syndromes. We hypothesized that dysphagia would be more prevalent in nonfluent/agrammatic variant (nfv)PPA than other PPA syndromes, predicted by accompanying motor features, and associated with atrophy affecting regions implicated in swallowing control.",Not available,URL not available
Deuterium Metabolic Imaging of Alzheimer Disease at 3-T Magnetic Field Strength: A Pilot Case-Control Study.,"Background Impaired glucose metabolism is characteristic of several types of dementia, preceding cognitive symptoms and structural brain changes. Reduced glucose uptake in specific brain regions, detected using fluorine 18 (",Not available,URL not available
Brain targeting efficacy of novel drug delivery system in the treatment of Alzheimer's disease.,"Alzheimer's disease (AD), a common degenerative disease of the central nervous system in the elderly, has become the third largest health killer after cardiovascular and cerebrovascular diseases and tumors. Based on the fact that Alzheimer's disease is a disease with multiple etiologies and complex pathology, a single target is bound to have a limited curative effect, and the synergy of multiple links and multiple targets is expected to achieve a better curative effect. The aim of this study is to investigate the brain targeting of a drug modified by chitosan, based on the new nanodrug delivery system for treating Alzheimer's disease developed by the research group.",Not available,URL not available
Beyond Hypertension: Examining Variable Blood Pressure's Role in Cognition and Brain Structure.,"Hypertension or high blood pressure (BP) is one of the twelve modifiable risk factors that contribute to 40% of dementia cases that could be delayed or prevented. Although hypertension is associated with cognitive decline and structural brain changes, less is known about the long-term association between variable BP and cognitive/brain changes. This study examined the relationship between variable BP and longitudinal cognitive, white matter hyperintensity (WMH), gray matter (GM), and white matter (WM) volume change over time and post-mortem neuropathology.",Not available,URL not available
Cognitive function in Vietnam: the effects of war exposure and social engagement.,"Vietnam is an LMIC in Asia that is experiencing rising cases of Alzheimer's disease and related dementias (ADRD). Many Vietnamese adults at risk of ADRD have experienced early-life war exposures, which may have negative impacts on their cognitive function in later years.",Not available,URL not available
Synergism of ApoE4 and systemic infectious burden is mediated by the APOE-NLRP3 axis in Alzheimer's disease.,"Systemic infections are associated with the development of AD, especially in individuals carrying the APOE4 genotype. However, the detailed mechanism through which APOE4 affects microglia inflammatory response remains unclear.",Not available,URL not available
Evaluation of cerebral microcirculation in a mouse model of systemic inflammation.,"Perturbations in the microcirculatory system have been observed in neurological conditions, such as Alzheimer's disease or systemic inflammation. However, changes occurring at the level of the capillary are difficult to translate to biomarkers that could be measured macroscopically.",PMC11249390,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11249390/
Opening neural gateways: old dog now has new tricks.,No abstract,PMC11246957,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11246957/
Personalized goals of people living with dementia and family carers: A content analysis of goals set within an individually tailored psychosocial intervention trial.,"Person-centered goals capture individual priorities in personal contexts. Goal Attainment Scaling (GAS) has been used in drug trials involving people living with dementia (PLWD) but GAS has been characterized as difficult to incorporate into trials and clinical practice. We used GAS in a trial of New Interventions for Independence in Dementia Study (NIDUS)-family, a manualized care and support intervention, as the primary outcome and to tailor the interventions to goals set. We aimed to assess the feasibility and content of baseline goal-setting.",PMC11247364,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11247364/
Clinically feasible automated MRI volumetry of the brain as a prognostic marker in subjective and mild cognitive impairment.,"The number of patients suffering from cognitive decline and dementia increases, and new possible treatments are being developed. Thus, the need for time efficient and cost-effective methods to facilitate an early diagnosis and prediction of future cognitive decline in patients with early cognitive symptoms is becoming increasingly important. The aim of this study was to evaluate whether an MRI based software, NeuroQuant® (NQ), producing volumetry of the hippocampus and whole brain volume (WBV) could predict: (1) conversion from subjective cognitive decline (SCD) at baseline to mild cognitive impairment (MCI) or dementia at follow-up, and from MCI at baseline to dementia at follow-up and (2) progression of cognitive and functional decline defined as an annual increase in the Clinical Dementia Rating Scale Sum of Boxes (CDR-SB) score.",PMC11248186,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11248186/
Spotlight on pro-inflammatory chemokines: regulators of cellular communication in cognitive impairment.,"Cognitive impairment is a decline in people's ability to think, learn, and remember, and so forth. Cognitive impairment is a global health challenge that affects the quality of life of thousands of people. The condition covers a wide range from mild cognitive impairment to severe dementia, which includes Alzheimer's disease (AD) and Parkinson's disease (PD), among others. While the etiology of cognitive impairment is diverse, the role of chemokines is increasingly evident, especially in the presence of chronic inflammation and neuroinflammation. Although inflammatory chemokines have been linked to cognitive impairment, cognitive impairment is usually multifactorial. Researchers are exploring the role of chemokines and other inflammatory mediators in cognitive dysfunction and trying to develop therapeutic strategies to mitigate their effects. The pathogenesis of cognitive disorders is very complex, their underlying causative mechanisms have not been clarified, and their treatment is always one of the challenges in the field of medicine. Therefore, exploring its pathogenesis and treatment has important socioeconomic value. Chemokines are a growing family of structurally and functionally related small (8-10 kDa) proteins, and there is growing evidence that pro-inflammatory chemokines are associated with many neurobiological processes that may be relevant to neurological disorders beyond their classical chemotactic function and play a crucial role in the pathogenesis and progression of cognitive disorders. In this paper, we review the roles and regulatory mechanisms of pro-inflammatory chemokines (CCL2, CCL3, CCL4, CCL5, CCL11, CCL20, and CXCL8) in cognitive impairment. We also discuss the intrinsic relationship between the two, hoping to provide some valuable references for the treatment of cognitive impairment.",PMC11247373,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11247373/
Analyzing heterogeneity in Alzheimer Disease using multimodal normative modeling on imaging-based ATN biomarkers.,Previous studies have applied normative modeling on a single neuroimaging modality to investigate Alzheimer Disease (AD) heterogeneity. We employed a deep learning-based multimodal normative framework to analyze individual-level variation across ATN (amyloid-tau-neurodegeneration) imaging biomarkers.,PMC11247918,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11247918/
Sodium-glucose cotransporter 1/2 inhibition and risk of neurodegenerative disorders: A Mendelian randomization study.,This study aims to evaluate the effects of sodium-glucose cotransporter 1 inhibitors (SGLT1i) and sodium-glucose cotransporter 2 inhibitors (SGLT2i) on neurodegenerative disorders and to investigate the role of hemoglobin A1c (HbA1c) levels.,Not available,URL not available
